baseMean log2FoldChange lfcSE stat pvalue padj
Solyc10g050970.1.1.1 1875.41897530884 2.27965351695833 0.405698782750916 5.61907901596529 1.91978048718444e-08 0.000517284852271847
Solyc03g122340.3.1.1 1162.804393189 1.69091421478438 0.331100703933198 5.10694841387452 3.27403082380899e-07 0.00221533151772016
Solyc08g036640.3.1.3 559.893943208086 2.35066135931655 0.453868260951063 5.17917105371245 2.22874038081623e-07 0.00221533151772016
Solyc09g082280.3.1.3 5269.06627493641 -2.94420397341195 0.576604678614337 -5.106104897531 3.28867176503271e-07 0.00221533151772016
Solyc01g108240.4.1.1 4670.62741730983 2.1353213597364 0.446509255878187 4.78225553362087 1.73339131216316e-06 0.00467062289062364
Solyc03g098730.1.1.1 1516.65495350715 1.63502526966478 0.340474834953457 4.80219123944442 1.56938698627711e-06 0.00467062289062364
Solyc03g122340.3.1.4 872.698034751701 1.64160278784861 0.33668881352374 4.87572714598925 1.08408370165843e-06 0.00467062289062364
Solyc06g035620.3.1.1 1455.77838977878 1.70090867191773 0.353708983016025 4.80877996768509 1.51854240418529e-06 0.00467062289062364
Solyc06g035620.3.1.3 843.504535145887 1.67509571553065 0.346370513102308 4.83613833212145 1.32385808674218e-06 0.00467062289062364
Solyc08g007820.1.1.1 1982.23715750755 1.62483105320288 0.339705955884239 4.78305141566776 1.72653939584971e-06 0.00467062289062364
Solyc01g090310.4.1.1 353.252176515291 2.06105011991304 0.443186834924917 4.65052198642637 3.31095943651113e-06 0.00811034563789021
Solyc04g077270.4.1.6 545.875543840919 1.58497138168935 0.345591515506953 4.5862566370136 4.51263853059002e-06 0.00935331116974985
Solyc06g075690.3.1.3 2329.49625479358 1.53052169887977 0.333349251290134 4.59134584210499 4.40396871286146e-06 0.00935331116974985
Solyc11g071760.3.1.1 3095.16503891145 1.63452774653977 0.364218764151645 4.4877636942923 7.19746978112948e-06 0.0138525588037524
Solyc02g084790.3.1.1 2601.30153969447 1.45857027114669 0.328139827917757 4.44496567332955 8.79059020850199e-06 0.0157908302112057
Solyc02g064980.1.1.1 1708.56562724154 2.33522463799084 0.527057735125674 4.43068089577324 9.39360085590424e-06 0.0158194109413962
Solyc03g123620.4.1.2 7232.87515407136 1.31662441840953 0.298842383528522 4.40574861859871 1.05419162332916e-05 0.0167089372297672
Solyc10g086280.2.1.4 260.546126392917 1.72588246865166 0.397731835437197 4.33931185507071 1.42929574559217e-05 0.0213957632583229
Solyc03g097050.3.1.3 4034.10595442356 1.26714177559976 0.296914003458702 4.26770634203519 1.97493067436883e-05 0.0280076352741411
Solyc04g074950.3.1.4 241.216617188556 1.67369964586717 0.397646440798886 4.20901452683607 2.56486900053421e-05 0.0345551976096972
Solyc01g079200.5.1.1 520.005600275947 1.39071621016821 0.336160382247239 4.13706160396191 3.51781688530417e-05 0.0405255597061431
Solyc01g098590.3.1.1 301.602752805338 1.83721302120624 0.441675958928407 4.15964008017026 3.18749483409835e-05 0.0405255597061431
Solyc02g077370.1.1.1 523.876385181067 1.48862003017383 0.360340878614527 4.13114392099342 3.60962491351804e-05 0.0405255597061431
Solyc03g093120.5.1.1.3 1127.35602379888 1.75798849116185 0.42362627606452 4.14985705677545 3.32682963881645e-05 0.0405255597061431
Solyc02g090360.3.1.6 1188.18241810764 1.32842763083669 0.32521181152188 4.08480745093514 4.41133817361603e-05 0.0475454028352336
