baseMean log2FoldChange lfcSE stat pvalue padj
Solyc04g007760.3.1.1 8789.62134044056 6.64879388672692 0.306158437770156 21.7168402581098 1.4223148070242e-104 1.2573689588536e-99
Solyc04g007760.3.1.2 21665.8840091748 6.63430360790523 0.326447568974154 20.3227232745314 8.09583859580092e-92 3.57848209692294e-87
Solyc06g073580.5.1.3 2645.2060185618 5.92448364702109 0.359298578700932 16.4890261142737 4.39984090082923e-61 1.29653045052002e-56
Solyc11g021060.2.1.2 2948.19614711753 4.74263063005151 0.302645573312332 15.6705765696334 2.40388778788207e-55 5.31277230280347e-51
Solyc06g073580.5.1.2 1808.62202385306 6.50402137166748 0.416109349007354 15.6305581385832 4.50836707821476e-55 7.97106349630838e-51
Solyc12g040860.2.1.2 839.047605259127 6.28949459519036 0.403795278094149 15.5759488443644 1.06067370851921e-54 1.56277896423706e-50
Solyc06g073580.5.1.1 1857.98364026131 6.12585548551259 0.398147341359367 15.3859007687895 2.03524295884925e-53 2.57030833273071e-49
Solyc04g007750.5.1.1 3094.85663159692 4.92105465640351 0.332996612019788 14.7780922651281 2.02830246971597e-49 2.24135029037876e-45
Solyc06g073580.5.1.4 2213.54119790052 6.47722069174939 0.445038531892048 14.5542918816759 5.48509675401872e-48 5.38776675939463e-44
Solyc01g073700.3.1.1 1143.88072537867 5.38598623672727 0.37190827620221 14.4820284499366 1.57383140279455e-47 1.39131417501247e-43
Solyc02g086300.4.1.3 1262.18687605999 5.11831232183536 0.361194549667535 14.1705137205048 1.39476439574651e-45 1.12092142615617e-41
Solyc09g005400.3.1.2 2808.28005550272 6.19713817686253 0.43919508814939 14.110217404696 3.28563510069612e-45 2.42049999839033e-41
Solyc02g086300.4.1.1 678.516221341743 5.0618427692299 0.360138901282819 14.0552513244183 7.15275329086333e-45 4.86403730132455e-41
Solyc02g090770.1.1.1 657.188541694939 4.84405612275872 0.358691571667384 13.504794941908 1.4652114633879e-41 9.25207778556288e-38
Solyc07g047740.3.1.4 654.156849175319 -5.44664995459244 0.408791704316419 -13.3237780930519 1.68366826299174e-40 9.92275503021725e-37
Solyc07g014680.4.1.4 2380.52911245545 -5.27278886967676 0.396348238545386 -13.3034245062577 2.21104762521168e-40 1.22164527007243e-36
Solyc07g014680.4.1.1 4070.28157442675 -5.76375455874811 0.436109900972537 -13.2162891644853 7.06651390928107e-40 3.67471193601279e-36
Solyc08g078930.1.1.1 1492.83338055566 -5.95045292080635 0.454648520244129 -13.0880287867454 3.85482475436877e-39 1.8932115153359e-35
Solyc07g014680.4.1.3 925.340182864425 -6.11823902503454 0.470163113596621 -13.0130136714292 1.03190775651711e-38 4.80124954733591e-35
Solyc09g005400.3.1.1 4203.55495618932 6.08931649194788 0.471651862547457 12.9106168669803 3.92146890286484e-38 1.7333480770998e-34
Solyc10g074826.1.1.1 452.78511442968 -6.90807946403738 0.535943536871151 -12.8895657635259 5.1533153771845e-38 2.16937399661544e-34
