baseMean log2FoldChange lfcSE stat pvalue padj
Solyc04g007760.3.1.1 8721.94877364208 5.85480861489373 0.351560772987739 16.6537596476895 2.84174861001364e-62 2.34359007867825e-57
Solyc04g007760.3.1.2 24041.9635659528 5.5894004675907 0.344089968965379 16.2440087527023 2.46290188421188e-59 1.01557759195477e-54
Solyc09g005400.3.1.1 7429.96609146449 6.0026737994496 0.380878308401588 15.7600831211436 5.85559233404417e-56 1.60970233262874e-51
Solyc06g076560.2.1.1 2241.18559668003 5.93322083721547 0.406654287065484 14.5903314582788 3.23621487305128e-48 6.67226601451348e-44
Solyc06g073580.5.1.3 4557.70714772736 5.50787306334887 0.387647279503922 14.208465671157 8.11848099642222e-46 1.33906225554988e-41
Solyc09g005400.3.1.2 4565.44499567276 6.22308240842607 0.464176262111565 13.4067226534095 5.52258910237341e-41 7.59079872121225e-37
Solyc06g073580.5.1.2 2513.06851255256 5.29981313811467 0.39759980195986 13.329516543999 1.55904695650784e-40 1.83678003576002e-36
Solyc01g090810.4.1.4 2670.34557315071 5.41253803302516 0.426257100221241 12.697824928232 6.07959834171564e-37 6.26730594051611e-33
Solyc12g040860.2.1.2 984.389747153722 5.13431520850052 0.409065062837172 12.5513412778158 3.90833124532657e-36 3.58133419780091e-32
Solyc12g010980.3.1.1 614.201795838923 6.07784923021942 0.484941106133714 12.5331698083428 4.91579094135384e-36 4.05405278933451e-32
Solyc03g083998.1.1.1 939.51087134986 6.38318480897263 0.529425634243319 12.0568109968755 1.78563948085641e-33 1.33874261805662e-29
Solyc06g053510.3.1.1 1524.95961831672 4.41940828277517 0.372260126435399 11.8718282430447 1.65804126552412e-32 1.13948885973145e-28
Solyc05g055460.1.1.1 340.806804193864 -6.24000697649295 0.540652070137875 -11.5416315245064 8.13670837258172e-31 5.16180261143703e-27
Solyc03g090990.1.1.1 371.59013615918 -6.3093489953772 0.549419889913458 -11.4836559636948 1.59394991744851e-30 9.38950354942703e-27
Solyc08g074683.1.1.1 10079.4481661529 4.22942160802335 0.36884910285614 11.46653624822 1.94281042651173e-30 1.06815717249615e-26
Solyc08g079080.6.1.3 592.049414090073 -5.57664079430655 0.488796147743526 -11.4089295098795 3.77344521465713e-30 1.94497516782984e-26
Solyc01g090810.4.1.3 760.982327194579 5.2594125868136 0.465076218673145 11.3087110792692 1.18822161611026e-29 5.76427274591842e-26
Solyc06g073580.5.1.1 2688.1085229951 5.19971478923066 0.466195592070745 11.1535048328848 6.88403162780835e-29 3.08856286400552e-25
Solyc12g096620.1.1.1 464.125293919004 -5.05920074584831 0.453717153591487 -11.1505608853472 7.11564137457316e-29 3.08856286400552e-25
Solyc04g007750.5.1.1 4687.70245912674 4.55112236326412 0.412498516850858 11.0330635804676 2.64691806750293e-28 1.09145666513483e-24
Solyc06g073580.5.1.4 3384.27257242789 4.51395104283804 0.411109435265971 10.9799256733617 4.77316369580474e-28 1.87448957139532e-24
Solyc03g091000.1.1.1 1020.76918950403 -5.10445420474593 0.468724596376767 -10.8900924854451 1.2850970078242e-27 4.81736137433009e-24
Solyc12g042980.2.1.2 1046.82082439942 -3.99280340717895 0.367464598006156 -10.8658179014896 1.67713565126281e-27 6.01362509389757e-24
Solyc07g007755.2.1.2 7254.27826814503 4.79122676554983 0.441430277066264 10.853869828305 1.91156804703183e-27 6.56862570161313e-24
Solyc03g082790.5.1.1 657.534041841167 -5.06739655378283 0.467169391479649 -10.8470217574252 2.0602953249938e-27 6.79650221808954e-24
Solyc08g079080.6.1.1 282.018559081121 -5.09202852054758 0.47059515382063 -10.8204015260396 2.75567444755052e-27 8.74078737267273e-24
Solyc06g053510.3.1.7 795.646165925545 4.38657509958179 0.407569255944381 10.7627723033663 5.15942527776467e-27 1.56287845035978e-23
Solyc07g047740.3.1.4 1045.8942189176 -4.49866166986655 0.418083971436274 -10.760186893585 5.30624428399102e-27 1.56287845035978e-23
Solyc05g053170.3.1.2 4407.43539415753 4.22399297651161 0.392827026550623 10.7528064288298 5.74854627064507e-27 1.63476762393137e-23
Solyc02g080790.4.1.7 298.060298414401 5.44728854266247 0.510582055401087 10.6687818050781 1.42482084875912e-26 3.91683251323883e-23
