baseMean log2FoldChange lfcSE stat pvalue padj
Solyc08g074683.1.1.1 9509.58555756588 3.89738155036945 0.331688675019736 11.7501194460063 7.05190972040429e-32 4.5542643356315e-27
Solyc09g005400.3.1.1 2378.67147587755 3.74120753119596 0.325132878815003 11.5067031818848 1.22055730218531e-30 3.94130158448657e-26
Solyc09g005400.3.1.2 1504.92179418495 3.8081696220709 0.363809321941725 10.467487753601 1.21833441465603e-25 2.62274910557719e-21
Solyc04g007760.3.1.1 3034.92449271256 4.13845950764669 0.408336508863178 10.1349240585132 3.86673908619134e-24 6.24304359161023e-20
Solyc04g007760.3.1.2 6871.99256350441 3.80731215946715 0.394432684852718 9.65262846026264 4.79116424893682e-22 6.18845939049675e-18
Solyc04g007750.5.1.1 2884.20285816587 3.5483721170889 0.385007729850804 9.21636591157259 3.07340010840922e-20 3.3081054300214e-16
Solyc01g090810.4.1.4 821.317489024795 4.38937199897529 0.490483956550843 8.94906334927246 3.58511378821178e-19 3.30762598100419e-15
Solyc12g040860.2.1.2 345.241950141298 3.54804616872973 0.406646036136838 8.72514632734745 2.65836663900953e-18 2.14603292850642e-14
Solyc03g083998.1.1.1 210.101914304497 4.64268180797245 0.556214239802306 8.34693086898061 7.00596975511613e-17 5.02732820805456e-13
Solyc10g076220.3.1.3 1128.95838562145 2.76567185152502 0.339391229925217 8.14891961744096 3.67189912948602e-16 2.37138589580466e-12
Solyc04g007750.5.1.2 5565.22054759165 3.34479055413049 0.411048506187376 8.13721617712378 4.04470144214995e-16 2.37468098669935e-12
Solyc01g111900.5.1.1 326.440397965244 3.62918919149759 0.458255628266277 7.91957363454091 2.38326394147917e-15 1.2826329322384e-11
Solyc10g076220.3.1.1 2664.57939649124 2.53197929994904 0.323156276621736 7.83515432972016 4.68267188751839e-15 2.32627935261318e-11
Solyc01g090810.4.1.3 233.270537396467 4.05681098015925 0.520082036047827 7.80032898461078 6.17459920070267e-15 2.84834261128414e-11
Solyc09g084460.3.1.3 117.66451586213 5.424006980057 0.712230694886437 7.61551982945896 2.62632316162632e-14 1.13075468282767e-10
Solyc01g111900.5.1.2 448.651523852878 4.13514762497707 0.546260027179462 7.56992534549587 3.73438773819496e-14 1.50733893067567e-10
Solyc01g067850.2.1.4 129.551641915615 3.9082035606487 0.528408012624475 7.39618527213015 1.40152427015939e-13 5.32430825973138e-10
Solyc05g008895.1.1.1 278.005321882046 3.01594172771713 0.40841555651719 7.38449277847276 1.53035661098929e-13 5.49074948060612e-10
Solyc02g089630.3.1.4 293.271018747219 3.96817564068205 0.538282349556024 7.37192227082126 1.68185074991231e-13 5.71669921741246e-10
Solyc07g007750.3.1.1 190.852275447864 4.79281110046771 0.661178213289317 7.24889447978602 4.20187069769357e-13 1.35682606699223e-09
