baseMean log2FoldChange lfcSE stat pvalue padj
Solyc06g073580.5.1.3 4015.28139205643 4.95479665155662 0.256354431449311 19.327914963453 3.12806099447686e-83 2.70317646959707e-78
Solyc06g073580.5.1.1 2840.51276786034 4.94186370530715 0.263554726990961 18.7508065657902 1.90677139853672e-78 8.23887319736739e-74
Solyc04g007760.3.1.1 9119.27121333553 5.48641548184241 0.309898984349313 17.7038833907833 3.91365652640479e-70 1.12735485347441e-65
Solyc06g073580.5.1.2 2410.98036635202 4.59610413477165 0.262585532639254 17.503264892685 1.35287061825956e-68 2.92277550545342e-64
Solyc03g026270.3.1.1 2792.23308967538 4.54437920561652 0.265008001291493 17.1480830143614 6.49602593776536e-66 1.12273414692774e-61
Solyc04g007760.3.1.2 21485.5832293418 5.07774197296832 0.303087641913082 16.7533784647824 5.34998060736185e-63 7.70548790243981e-59
Solyc01g100090.1.1.1 1589.49779520325 -5.62198335424171 0.351730627735748 -15.9837753977611 1.65793059159538e-57 2.04676268476997e-53
Solyc08g078700.3.1.7 1113.75687307559 4.76831000618092 0.299689054326653 15.910858062182 5.32782540956378e-57 5.75518360522842e-53
Solyc01g090810.4.1.4 2116.70983531505 5.28840953517054 0.337862697327811 15.6525404461548 3.19217835857284e-55 3.06509419125321e-51
Solyc06g076560.2.1.1 2622.5119631548 4.07183538311763 0.260271330728714 15.6445789542675 3.61753961834078e-55 3.12616921198156e-51
Solyc03g007890.3.1.1 1818.53788899932 4.28267969244107 0.275876795970239 15.5238851364037 2.39123901679804e-54 1.87857911013306e-50
Solyc03g091000.1.1.1 729.216345062093 -6.55274699348842 0.431685060990397 -15.1794620329338 4.83732790017411e-52 3.48356137624455e-48
Solyc06g073580.5.1.4 3122.34159838858 4.25714955555374 0.281089088704615 15.1451967601183 8.15103151091329e-52 5.41836684675841e-48
Solyc12g042980.2.1.2 1089.50618642431 -5.96758264622233 0.412378494195691 -14.4711296302238 1.84418324734627e-47 1.13834845489945e-43
Solyc03g083996.1.1.1 547.863072571219 5.22374507812897 0.36274152397817 14.4007364275267 5.11950932643656e-47 2.94941758308446e-43
Solyc06g035700.1.1.1 3398.30111767151 4.5114001945885 0.315645136221367 14.2926333305658 2.43235072147192e-46 1.31372782685899e-42
Solyc03g083998.1.1.1 553.997424163793 6.03264378715064 0.428420271525908 14.0811352498894 4.96064385223269e-45 2.5216703516376e-41
Solyc04g074440.1.1.1 4109.10066039024 3.97104250617261 0.288292226644125 13.7743655193123 3.63563129984182e-43 1.74544638910239e-39
Solyc04g071900.5.1.3 3107.13448215275 3.4563597966404 0.251484478328151 13.7438295182987 5.54627797033276e-43 2.52259317559077e-39
Solyc04g074450.1.1.1 7924.74618377989 3.96683169006255 0.290049068870504 13.6764158751139 1.40446633032806e-42 6.06848834339801e-39
Solyc03g083996.1.1.2 1018.18111932494 4.74938060086327 0.347626084114268 13.6623251760996 1.70452836513926e-42 7.01429655858281e-39
Solyc06g053510.3.1.1 1616.71854666677 3.90724304795485 0.28648787887094 13.6384235987695 2.36620311096181e-42 9.29455337454485e-39
Solyc07g047740.3.1.4 484.613852618822 -5.76632377560817 0.425799785323232 -13.542336032957 8.79469630489248e-42 3.30439682860823e-38
Solyc09g082870.3.1.1 2303.45975804035 3.50573036795347 0.260301982267403 13.4679357314771 2.41524364050001e-41 8.69658790337872e-38
Solyc03g093080.3.1.1 1278.89492774359 3.60799391557122 0.271407900933592 13.293621531136 2.52076031850605e-40 8.7134617777735e-37
Solyc03g093120.5.1.1.1 825.030936535856 4.01023828584872 0.301785050655036 13.2883927720884 2.70322395040388e-40 8.98478862007894e-37
Solyc05g015300.5.1.3 1227.46790921568 -4.32757629190488 0.326105011351982 -13.2704991989035 3.43286247109539e-40 1.09873213394315e-36
Solyc05g053170.3.1.2 3578.48850665498 3.39335052161192 0.256600993688185 13.2242298552259 6.35851794626923e-40 1.96244301915267e-36
Solyc01g079660.2.1.1 2642.87054397733 4.22198208652459 0.321792720378608 13.1201914125254 2.52296892272263e-39 7.51818639292834e-36
Solyc07g007755.2.1.2 7165.20898870973 3.69363591017572 0.282495995761734 13.0750027100952 4.57547639772361e-39 1.31799647954027e-35
Solyc08g007830.1.1.1 1008.28780046834 3.96921740398988 0.305396667598625 12.9969244104737 1.27363188098016e-38 3.55043375027942e-35
Solyc02g094000.1.1.1 2150.15012231602 3.63152890508278 0.279996154731491 12.9699242068711 1.8120943699272e-38 4.89361747393746e-35
Solyc03g093120.5.1.1.3 947.384100242287 3.75993269624389 0.292682962210978 12.8464351591931 9.00659753662863e-38 2.35855496764496e-34
Solyc08g068600.3.1.4 2452.20148191071 3.62330426312894 0.286289734275095 12.6560747010486 1.03548788892289e-36 2.63187520285439e-33
Solyc08g079080.6.1.3 367.17133795075 -5.38905992598233 0.426404192640206 -12.6383840004349 1.29692083668261e-36 3.20217165553147e-33
Solyc01g073700.3.1.1 746.31414028124 4.53951609084667 0.364586279892819 12.4511435048549 1.37855751502934e-35 3.30918902156362e-32
Solyc01g079670.2.1.1 914.242159989419 3.65773515297663 0.296066386297227 12.3544425246051 4.60940342458606e-35 1.0765697722769e-31
Solyc07g009090.5.1.2 774.974715015366 -4.08155891984959 0.330949957024927 -12.3328582863123 6.027022504247e-35 1.37062422039346e-31
Solyc01g090810.4.1.3 577.302805475139 4.75014746651056 0.390048960212743 12.1783364424807 4.05467842890218e-34 8.98443963565231e-31
Solyc12g005370.2.1.1 316.935819615838 -6.16307009826807 0.509678359660282 -12.0920772511824 1.16308296483659e-33 2.5127535143071e-30
Solyc08g068610.3.1.4 892.033845619663 4.00023776047397 0.331906236296031 12.0523127408372 1.88583237124574e-33 3.97482868355958e-30
Solyc04g071900.5.1.1 702.500765350293 3.65747049161446 0.303521459135468 12.0501216027103 1.93664012671781e-33 3.98472928168031e-30
Solyc04g007790.3.1.2 384.423210786022 4.468459199291 0.371135240960306 12.0399754755947 2.19020750233895e-33 4.40165492394478e-30
Solyc12g100230.1.1.1 300.172853902107 -6.78624293012261 0.565648283945427 -11.9972836879981 3.67149026575082e-33 7.2108903248952e-30
Solyc02g076890.1.1.1 367.687913137004 -5.73195121526047 0.479958031165716 -11.9426092346841 7.09616101369186e-33 1.36273099182269e-29
Solyc03g083730.1.1.1 751.744287830363 4.10694686339853 0.34493797907162 11.9063342182619 1.09694600618716e-32 2.06075615253643e-29
Solyc08g079930.2.1.1 633.479851487242 -4.31585187071852 0.363118912886879 -11.8855055948656 1.40780617352454e-32 2.58847629994617e-29
